title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color,uniq_id,merged_text
chief mfgswingarm wall mount hardware mount black ts218su,Chief Store,the chief ts218su thin stall dual swingarm wall mount is designed to mount flatpanel displays measuring 26 to 47 with a maximum weight of 75 lb its distance from the wall can range from 15 to 18 and it provides 12 to 0 degree of tilt and up to 1 of height adjustment it can pivot up to 180 degree depending on the width of your mounted display and also offers postinstallation leveling,$260.80,"['Electronics', 'Television & Video', 'Accessories', 'TV Mounts, Stands & Turntables', 'TV Wall & Ceiling Mounts']","['https://m.media-amazon.com/images/I/41HxUoRXloL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41O0tbqtVfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41apCz-5USL._SS522_.jpg']",No,2 x 14 x 20 inches,,,black,4129440e-cfff-5498-b9d6-16ec18b0a285,chief mfgswingarm wall mount hardware mount black ts218su the chief ts218su thin stall dual swingarm wall mount is designed to mount flatpanel displays measuring 26 to 47 with a maximum weight of 75 lb its distance from the wall can range from 15 to 18 and it provides 12 to 0 degree of tilt and up to 1 of height adjustment it can pivot up to 180 degree depending on the width of your mounted display and also offers postinstallation leveling black
domydevm black end table nightstand with charging station bedside table with drawer small side table with usb ports and outlets for bedroom,DOMYDEVM Store,,$46.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Tables', 'End Tables']","['https://m.media-amazon.com/images/I/41YrmN-yOEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ySXwNCU7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/418lxFzHARL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51HMXH0NWSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31diULoiHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51O4kVaFcmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71rbaYe0wnL.SS125_SS522_.jpg']",,"11.81""D x 15.75""W x 23.62""H",,metal,black,d553e7ea-4dce-5147-8534-3230f5e7848d,domydevm black end table nightstand with charging station bedside table with drawer small side table with usb ports and outlets for bedroom metal black
lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish,LASCO,product description lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish this high quality stylish and easy to install 24inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish all hardware included mounting screws are concealed after installation for clean screw less look larsen supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16000 bulk skus we pride ourselves on service selection and support please revert to retail place of purchase for resolution of any possible plumbing questions from the manufacturer lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish this high quality stylish and easy to install 24inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish all hardware included mounting screws are concealed after installation for clean screw less look larsen supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16000 bulk skus we pride ourselves on service selection and support all lasco merchandise is warranted to be free of manufacturing defects please revert to retail place of purchase for resolution of any possible plumbing questions warranty or defective part replacement,,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Towel Bars']",['https://m.media-amazon.com/images/I/31rrpY5EJOL._SS522_.jpg'],LASCO,1.5 x 3.25 x 26.25 inches,China,metal,chrome,7e2fae41-2f67-5363-a013-9a3854be6630,lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish product description lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish this high quality stylish and easy to install 24inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish all hardware included mounting screws are concealed after installation for clean screw less look larsen supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16000 bulk skus we pride ourselves on service selection and support please revert to retail place of purchase for resolution of any possible plumbing questions from the manufacturer lasco 355019 hallmack style 24inch towel bar accessory all metal construction chrome plated finish this high quality stylish and easy to install 24inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish all hardware included mounting screws are concealed after installation for clean screw less look larsen supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16000 bulk skus we pride ourselves on service selection and support all lasco merchandise is warranted to be free of manufacturing defects please revert to retail place of purchase for resolution of any possible plumbing questions warranty or defective part replacement metal chrome
tablemate ii pro tv tray table folding table with cup holder and tablet slot couch desk for working from home tv trays for eating portable and adjustable tv table slate gray,Table-Mate Store,,$53.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Folding Tables & Chairs', 'Folding Tables']","['https://m.media-amazon.com/images/I/31cbTc2VhaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51iLRDni3SL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511IENAhEfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CwGvaB36L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51lPfhecHFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/517NNSqzt8L._SS522_.jpg']",Table-Mate,"15""D x 21""W x 29""H",China,,slate gray,6ed419d5-318a-5013-a0c4-d182d6ad6471,tablemate ii pro tv tray table folding table with cup holder and tablet slot couch desk for working from home tv trays for eating portable and adjustable tv table slate gray slate gray
egfheal white dress up storage,EGFheal,white dress up storage,,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Bedroom Armoires']","['https://m.media-amazon.com/images/I/31l+OVMKBFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/510aFU231KL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31hz-89KKNL._SS522_.jpg']",EGFheal,32 x 19 x 45 inches,China,,,17f320a4-fc0c-5bf3-969e-3e7823b85c57,egfheal white dress up storage white dress up storage
carolines treasures ppd3013jmat enchanted garden flowers doormat 24x36 front door mat indoor outdoor rugs for entryway non slip washable low pile 24h x 36w,Caroline's Treasures Store,welcome your family and friends with this artwork mat in full color this action backed mat with hold up in almost any weather condition this door mat measures about 24 inches by 36 inches and has a black binding tape to hold its many layers together the top layer is a polyester felt that is dyed with the image that you see on the mat the next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping to clean this mat hose it off with a water hose or use a powerwasher do not use any cleaner that produces suds,,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51Zn-AivGrL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51KczSA8RxL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51-LvXau6sL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51SsV7oKOHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z8nxChtWL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41dYQSczuqL._SS522_.jpg']",Caroline's Treasures,"36""L x 24""W",USA,rubber,enchanted garden flowers,8f491435-a1c3-5c48-ad17-b8ebfde82fe9,carolines treasures ppd3013jmat enchanted garden flowers doormat 24x36 front door mat indoor outdoor rugs for entryway non slip washable low pile 24h x 36w welcome your family and friends with this artwork mat in full color this action backed mat with hold up in almost any weather condition this door mat measures about 24 inches by 36 inches and has a black binding tape to hold its many layers together the top layer is a polyester felt that is dyed with the image that you see on the mat the next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping to clean this mat hose it off with a water hose or use a powerwasher do not use any cleaner that produces suds rubber enchanted garden flowers
leick home 70007wtgd mixed metal and wood stepped tier bookshelf white herringbonesatin gold,Leick Home Store,smooth satin gold metal side supports are combined with herringbone textured white laminated shelf surfaces in this compact bookcase or hallstand the perfect solution for small spaces in apartments condos or anywhere space is hard to come by at only 12 inches deep this space saver hugs the wall and stacks three layers of shelves in a beautiful stepped design with simple assembly in just minutes this sturdy versatile and eyecatching bookshelf is at your service designed and manufactured by leick home the trusted source for quality home furnishings for every taste and budget,,"['Home & Kitchen', 'Furniture', 'Home Office Furniture', 'Bookcases']","['https://m.media-amazon.com/images/I/31XhtLE1F1L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31P5IpUuZpS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31+AyqdiGjS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31d0QTUZ5GL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41S76eNREIL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Aq1cjlKkL.SS125_SS522_.jpg']","Leick Furniture, Incorporated","12""D x 32""W x 30.5""H",China,,,7254e915-73f6-5992-b727-56ac68f60847,leick home 70007wtgd mixed metal and wood stepped tier bookshelf white herringbonesatin gold smooth satin gold metal side supports are combined with herringbone textured white laminated shelf surfaces in this compact bookcase or hallstand the perfect solution for small spaces in apartments condos or anywhere space is hard to come by at only 12 inches deep this space saver hugs the wall and stacks three layers of shelves in a beautiful stepped design with simple assembly in just minutes this sturdy versatile and eyecatching bookshelf is at your service designed and manufactured by leick home the trusted source for quality home furnishings for every taste and budget
carolines treasures ck3435mat bichon frise doormat 18x27 front door mat indoor outdoor rugs for entryway non slip washable low pile 18h x 27w,Caroline's Treasures Store,welcome your family and friends with this artwork mat in full color this action backed mat with hold up in almost any weather condition this door mat measures about 18 inches by 27 inches and has a black binding tape to hold its many layers together the top layer is a polyester felt that is dyed with the image that you see on the mat the next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping to clean this mat hose it off with a water hose or use a powerwasher do not use any cleaner that produces suds,,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51V1IWRrXHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514YwvmLkpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51oPAizyXaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51kJA6JeRrL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z8nxChtWL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/415ysOu4kdL._SS522_.jpg']",Caroline's Treasures,"0.25""L x 18""W",USA,rubber,bichon frise,6b7557a1-43b8-5aec-9d97-582b567fee71,carolines treasures ck3435mat bichon frise doormat 18x27 front door mat indoor outdoor rugs for entryway non slip washable low pile 18h x 27w welcome your family and friends with this artwork mat in full color this action backed mat with hold up in almost any weather condition this door mat measures about 18 inches by 27 inches and has a black binding tape to hold its many layers together the top layer is a polyester felt that is dyed with the image that you see on the mat the next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping to clean this mat hose it off with a water hose or use a powerwasher do not use any cleaner that produces suds rubber bichon frise
wildkin kids canvas sling bookshelf with storage for boys and girls wooden design features four shelves and two drawers helps keep bedrooms playrooms and classrooms organized natural with blue,Wildkin Store,add wildkins sling bookshelf with storage to any room to help children of all ages maintain and organize items in their play space the convenient and easy design makes this bookshelf the perfect gift for young readers in your life measuring 244 x 12 x 275 inches wildkins sling bookshelf with storage is small enough to fit anywhere in your home yet large enough to house all your favorite books magazines paintings and more each bookshelf features five sling shelves and two bottom pull out drawers complete with handles your child will love that their bookshelf gives them a variety of storage options each sling bookshelf with storage is made from ultradurable melamine faced chipboard and mdf board complete with metal poles highquality polyester fabric shelves and drawers make the sling bookshelf the perfect solution for avoiding book damage while helping children to easily identify and access their favorite items classrooms and libraries are not the only places books belong the sling bookshelf with storages sleek and compact design will make you want to add a second or third piece to your home to meet all your book storage needs the timeless design of wildkins sling bookshelf with storage makes it an ideal choice for organizing more than just books this piece can be a home for anything from books and magazines to paintings and writings the possibilities are endless 90day manufacturers warranty against defects normal wearandtear and misuse excluded rigorously tested to ensure that all parts are leadsafe bpafree phthalatefree and conform to all rules and regulations set forth by the consumer products safety commission,,"['Home & Kitchen', 'Furniture', ""Kids' Furniture"", 'Bookcases, Cabinets & Shelves']","['https://m.media-amazon.com/images/I/51-GsdoM+IS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31A+MlJNPPS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51NN55v6ffS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41fFYNH5xvS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41NI9bTlL1S._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Ils5HEk7L.SS40_SS522_.jpg']",Wildkin Toys,"12""D x 24.4""W x 27.5""H",,engineered wood polyester,,4fdbca90-1957-5f1f-a306-4fb1e2ece45f,wildkin kids canvas sling bookshelf with storage for boys and girls wooden design features four shelves and two drawers helps keep bedrooms playrooms and classrooms organized natural with blue add wildkins sling bookshelf with storage to any room to help children of all ages maintain and organize items in their play space the convenient and easy design makes this bookshelf the perfect gift for young readers in your life measuring 244 x 12 x 275 inches wildkins sling bookshelf with storage is small enough to fit anywhere in your home yet large enough to house all your favorite books magazines paintings and more each bookshelf features five sling shelves and two bottom pull out drawers complete with handles your child will love that their bookshelf gives them a variety of storage options each sling bookshelf with storage is made from ultradurable melamine faced chipboard and mdf board complete with metal poles highquality polyester fabric shelves and drawers make the sling bookshelf the perfect solution for avoiding book damage while helping children to easily identify and access their favorite items classrooms and libraries are not the only places books belong the sling bookshelf with storages sleek and compact design will make you want to add a second or third piece to your home to meet all your book storage needs the timeless design of wildkins sling bookshelf with storage makes it an ideal choice for organizing more than just books this piece can be a home for anything from books and magazines to paintings and writings the possibilities are endless 90day manufacturers warranty against defects normal wearandtear and misuse excluded rigorously tested to ensure that all parts are leadsafe bpafree phthalatefree and conform to all rules and regulations set forth by the consumer products safety commission engineered wood polyester
gbuzozie 38l round laundry hamper cute mermaid girl storage basket waterproof coating organizer bin for nursery clothes toys,Gbuzozie,,$18.99,"['Baby Products', 'Nursery', 'Furniture', 'Storage & Organization', 'Hampers']","['https://m.media-amazon.com/images/I/41hYmELREGL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41VFJB73P8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31EVYkDak+L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41kqUqbzHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41sQFOkD1ZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41LX+GGgsuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51+mlUokV-L._SS522_.jpg']",Gbuzozie,"13.8""L x 13.8""W x 16.5""H",,fabric,mermaid girl,81c0bc61-6ec2-5484-8388-2c404f3dd8f7,gbuzozie 38l round laundry hamper cute mermaid girl storage basket waterproof coating organizer bin for nursery clothes toys fabric mermaid girl
tiita comfy saucer chair soft faux fur oversized folding accent chair lounge lazy chair for kids teens adults metal frame moon chair for bedroom living room dorm rooms,Tiita Store,,$79.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Chairs']","['https://m.media-amazon.com/images/I/41O7mY3lUvL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41SeqOInsyL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51s2LL0DTML._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414XCaSNIDL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41+0p+K3rQL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z9c-u5SjL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ENPkz2zPL.SS125_SS522_.jpg']",Tiita,"21.6""D x 23.6""W x 31.5""H",China,pp cotton,grey,d5a75f7b-b874-5757-9778-790a1f33be14,tiita comfy saucer chair soft faux fur oversized folding accent chair lounge lazy chair for kids teens adults metal frame moon chair for bedroom living room dorm rooms pp cotton grey
